"ncm","class","sub"
"7411",Tubos De Cobre,Tubos de cobre.
"8467","Ferramentas Pneumáticas, Hidráulicas","Ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual."
"7105",Pó De Diamante,"Pó de diamantes, de pedras preciosas ou semipreciosas ou de pedras sintéticas."
"2301",Farinha Animal Imprópria,"Farinhas, pós e pellets, de carnes, miudezas, peixes ou crustáceos, moluscos ou de outros invertebrados aquáticos, impróprios para alimentação humana, torresmos."
"3405",Pomadas E Cremes Para Calçado,"Pomadas e cremes para calçado, encáusticas, preparações para dar brilho a pinturas de carroçarias, vidros ou metais, pastas e pós para arear e preparações semelhantes (mesmo apresentados em papel, pastas (ouates), feltros, falsos tecidos (tecidos não tecidos), plástico alveolar ou borracha alveolar, impregnados, revestidos ou recobertos daquelas preparações), com exclusão das ceras da posição 34.04."
"3923",Embalagens De Plástico,"Artigos de transporte ou de embalagem, de plástico, rolhas, tampas, cápsulas e outros dispositivos para fechar recipientes, de plástico."
"0208",Miudezas Outras,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas."
"1806",Chocolate,Chocolate e outras preparações alimentícias que contenham cacau.
"4411",Painéis De Outras Madeira,"Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos."
"6903",Outros Produtos Cerâmicos,"Outros produtos cerâmicos refratários (por exemplo, retortas, cadinhos, muflas, bocais, tampões, suportes, copelas, tubos, mangas, varetas, portas deslizantes (slide gates)) que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes."
"6003",Tecidos Malha,"Tecidos de malha de largura não superior a 30 cm, exceto os das posições 60.01 e 60.02."
"5806",Fitas De Fios,"Fitas, exceto os artigos da posição 58.07, fitas sem trama, de fios ou fibras paralelizados e colados (bolducs)."
"6107",Roupa Intima,"Cuecas, ceroulas, camisolões (camisas de noite*), pijamas, roupões de banho, robes e semelhantes, de malha, de uso masculino."
"4703",Pastas Químicas De Madeira,"Pastas químicas de madeira, à soda ou ao sulfato, exceto pastas para dissolução."
"4115",Couro Reconstituído,"Couro reconstituído, à base de couro ou de fibras de couro, em chapas, folhas ou tiras, mesmo enroladas, aparas e outros desperdícios de couros ou de peles preparados ou de couro reconstituído, não utilizáveis para fabricação de obras de couro, serragem, pó e farinha, de couro."
"3213",Cores Para Pintura,"Cores para pintura artística, atividades educativas, pintura de tabuletas, modificação de tonalidades, recreação e cores semelhantes, em pastilhas, tubos, potes, frascos, godês ou acondicionamentos semelhantes."
"2504",Grafita,Grafita natural.
"9401",Assentos,"Assentos (exceto os da posição 94.02), mesmo transformáveis em camas, e suas partes."
"6208",Roupa Intima,"Corpetes (Camisolas interiores*), combinações, anáguas (saiotes), calcinhas, camisolas (camisas de noite*), pijamas, déshabillés, roupões de banho, penhoares (robes de quarto*), e artigos semelhantes, de uso feminino."
"0407",Ovos De Aves,"Ovos de aves, com casca, frescos, conservados ou cozidos."
"6505",Chapéus,"Chapéus e outros artigos de uso semelhante, de malha ou confeccionados com rendas, feltro ou outros produtos têxteis, em peça (mas não em tiras), mesmo guarnecidos, coifas e redes, para o cabelo, de qualquer matéria, mesmo guarnecidas."
"1904",Produtos A Base De Cereais,"Produtos à base de cereais, obtidos por expansão ou por torrefação (flocos de milho (corn flakes), por exemplo), cereais (exceto milho) em grãos ou sob a forma de flocos ou de outros grãos trabalhados (com exceção da farinha, do grumo e da sêmola), pré-cozidos ou preparados de outro modo, não especificados nem compreendidos noutras posições."
"5607",Cordéis E Cabos,"Cordéis, cordas e cabos, entrançados ou não, mesmo impregnados, revestidos, recobertos ou embainhados de borracha ou de plástico."
"9114",Artigos De Relojoaria,Outras partes de artigos de relojoaria.
"3205",Lacas Corantes,Lacas corantes
"3001",Glândulas,"Glândulas e outros órgãos para usos opoterápicos, dessecados, mesmo em pó, extratos de glândulas ou de outros órgãos ou das suas secreções, para usos opoterápicos, heparina e seus sais, outras substâncias humanas ou animais preparadas para fins terapêuticos ou profiláticos, não especificadas nem compreendidas noutras posições."
"8413",Bombas Para Líquidos,"Bombas para líquidos, mesmo com dispositivo medidor, elevadores de líquidos."
"2617",Outros Minérios,Outros minérios e seus concentrados.
"0707",Pepinos,"Pepinos e pepininhos (cornichons), frescos ou refrigerados. "
"4418",Obras De Marcenaria E Peças De Carpintaria,"Obras de marcenaria e peças de carpintaria para construções, incluindo os painéis celulares, os painéis montados para revestimento de pisos (pavimentos) e as fasquias para telhados (shingles e shakes), de madeira."
"2205",Vinhos Aromatizados,Vermutes e outros vinhos de uvas frescas aromatizados por plantas ou substâncias aromáticas.
"9112",Caixas De Relógio,"Caixas e semelhantes de artigos de relojoaria, e suas partes."
"9304",Outras  Armas,"Outras armas (por exemplo, espingardas, carabinas e pistolas, de mola, de ar comprimido ou de gás, cassetetes), exceto as da posição 93.07."
"4203",Vestuário De Couro,"Vestuário e seus acessórios, de couro natural ou reconstituído."
"5504",Fibras Artificiais,"Fibras artificiais descontínuas, não cardadas, não penteadas nem transformadas de outro modo para fiação."
"0706",Raízes Comestíveis,"Cenouras, nabos, beterrabas para salada, cercefi, aipo-rábano, rabanetes e raízes comestíveis semelhantes, frescos ou refrigerados."
"2918",Ácidos Carboxílicos ,"Ácidos carboxílicos que contenham funções oxigenadas suplementares e seus anidridos, halogenetos, peróxidos e peroxiácidos, seus derivados halogenados, sulfonados, nitrados ou nitrosados."
"5107",Fios De Lã Penteada,"Fios de lã penteada, não acondicionados para venda a retalho."
"9209",Partes Instrumentos Musicais,"Partes (mecanismos de caixas de música, por exemplo) e acessórios (por exemplo, cartões, discos e rolos para instrumentos mecânicos) de instrumentos musicais, metrônomos e diapasões de qualquer tipo."
"1005",Milho,Milho.
"9604",Peneiras,"Peneiras e crivos, manuais.  "
"1104",Grãos De Cereais Trabalhados,"Grãos de cereais trabalhados de outro modo (por exemplo, descascados, esmagados, em flocos, em pérolas, cortados ou partidos), com exclusão do arroz da posição 10.06, germes de cereais, inteiros, esmagados, em flocos ou moídos."
"2822",Óxidos E Hidróxidos ,"Óxidos e hidróxidos de cobalto, óxidos de cobalto comerciais."
"2612",Minério Urânio,"Minérios de urânio ou de tório, e seus concentrados."
"8423",Instrumentos De Pesagem,"Aparelhos e instrumentos de pesagem, incluindo as básculas e balanças para verificar peças usinadas (fabricadas*), excluindo as balanças sensíveis a pesos não superiores a 5 cg, pesos para quaisquer balanças."
"1905",Produtos De Padaria,"Produtos de padaria, pastelaria ou da indústria de bolachas e biscoitos, mesmo adicionados de cacau, hóstias, cápsulas vazias para medicamentos, obreias, pastas secas de farinha, amido ou fécula, em folhas, e produtos semelhantes."
"2208",Álcool  Etílico=<80%,"Álcool etílico não desnaturado, com um teor alcoólico, em volume, inferior a 80 % vol., aguardentes, licores e outras bebidas espirituosas."
"2937",Hormônio,"Hormônios, prostaglandinas, tromboxanas e leucotrienos, naturais ou reproduzidos por síntese, seus derivados e análogos estruturais, incluindo os polipeptídios de cadeia modificada, utilizados principalmente como hormônios."
"0901",Café,"Café, mesmo torrado ou descafeinado, cascas e películas de café, sucedâneos do café que contenham café em qualquer proporção."
"7502",Níquel ,Níquel em formas brutas.
"4405",Lã ou farinha de madeira,"Lã de madeira, farinha de madeira.  "
"6401",Calçado Impermeável ,"Calçado impermeável de sola exterior e parte superior de borracha ou plástico, em que a parte superior não tenha sido reunida à sola exterior por costura ou por meio de rebites, pregos, parafusos, espigões ou dispositivos semelhantes, nem formada por diferentes partes reunidas pelos mesmos processos."
"1701",Açúcar De Cana E Beterraba,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido."
"5109",Fios De Lã,"Fios de lã ou de pelos finos, acondicionados para venda a retalho."
"8702",Veículos Automóveis Para Transporte De + 9 Pessoas,"Veículos automóveis para transporte de dez pessoas ou mais, incluindo o motorista."
"2826",Fluoretos E Similares,"Fluoretos, fluorossilicatos, fluoraluminatos e outros sais complexos de flúor."
"1107",Malte,"Malte, mesmo torrado."
"1208",Farinha De Sementes E Oleaginosos,"Farinhas de sementes ou de frutos oleaginosos, exceto farinha de mostarda."
"8301",Cadeados,"Cadeados, fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, fechos e armações com fecho, com fechadura, de metais comuns, chaves para estes artigos, de metais comuns."
"7321",Aquecedores De Ambiente,"Aquecedores de ambiente (fogões de sala), caldeiras de fornalha, fogões de cozinha (incluindo os que possam ser utilizados acessoriamente no aquecimento central), churrasqueiras (grelhadores), braseiras, fogareiros a gás, aquecedores de pratos, e aparelhos não elétricos semelhantes, de uso doméstico, e suas partes, de ferro fundido, ferro ou aço."
"0601",Bulbos E Tubérculos,"Bulbos, tubérculos, raízes tuberosas, cormos, coroas e rizomas, em repouso vegetativo, em vegetação ou em flor, mudas, plantas e raízes de chicória, exceto as raízes da posição 12.12."
"6911",Serviço Artigos De Cozinha,"Serviços de mesa, artigos de cozinha, outros artigos de uso doméstico e artigos de higiene ou de toucador, de porcelana."
"8510",Aparelhos De Barbear,"Aparelhos ou máquinas de barbear, máquinas de cortar o cabelo ou de tosquiar e aparelhos de depilar, com motor elétrico incorporado."
"6303",Cortinas,"Cortinados, cortinas, reposteiros e estores, sanefas."
"8406",Turbinas A Vapor,Turbinas a vapor.
"3073",Mexilhões,"- Mexilhões (Mytilus spp., Perna spp.):"
"8445",Preparadeiras De Texteis,"Máquinas para preparação de matérias têxteis, máquinas para fiação, dobragem ou torção, de matérias têxteis e outras máquinas e aparelhos para fabricação de fios têxteis, máquinas de bobinar (incluindo as bobinadoras de trama) ou de dobar matérias têxteis e máquinas para preparação de fios têxteis para a sua utilização nas máquinas das posições 84.46 ou 84.47."
"5201",Algodão,Algodão não cardado nem penteado.
"8515",Máquinas Elétricas Para Soldar,"Máquinas e aparelhos para soldar (mesmo de corte) elétricos (incluindo os a gás aquecido eletricamente), a laser ou outros feixes de luz ou de fótons, a ultrassom, a feixes de elétrons, a impulsos magnéticos ou a jato de plasma, máquinas e aparelhos elétricos para projeção a quente de metais ou de cermets."
"5909",Mangueiras e tubos," Tecidos impregnados, revestidos, recobertos ou estratificados, artigos para usos técnicos de matérias têxteis - Mangueiras e tubos semelhantes,dematériastêxteis,mesmocomreforçoou acessórios de outras matérias."
"2303",Resíduos Vegetais Da Indústria,"Resíduos da fabricação do amido e resíduos semelhantes, polpas de beterraba, bagaços de cana-de açúcar e outros desperdícios da indústria do açúcar, borras e desperdícios da indústria da cerveja e das destilarias, mesmo em pellets."
"8454",Maquinas Para Fundição,"Conversores, cadinhos ou colheres de fundição, lingoteiras e máquinas de vazar (moldar), para metalurgia, aciaria ou fundição."
"1204",Linhaça,"Linhaça (sementes de linho), mesmo triturada."
"2603",Minério Cobre,Minérios de cobre e seus concentrados.
"7220",Produtos Laminados Planos De Aço Inoxidável,"Produtos laminados planos de aço inoxidável, de largura inferior a 600 mm."
"9613",Isqueiros,"Isqueiros e outros acendedores, mesmo mecânicos ou elétricos, e suas partes, exceto pedras e pavios."
"3606",Ligas Pirofóricas,"Ferrocério e outras ligas pirofóricas, sob quaisquer formas, artigos de matérias inflamáveis indicados na Nota 2 do presente Capítulo."
"3811",Preparações Antidetonantes,"Preparações antidetonantes, inibidores de oxidação, aditivos peptizantes, beneficiadores de viscosidade, aditivos anticorrosivos e outros aditivos preparados, para óleos minerais (incluindo a gasolina) ou para outros líquidos utilizados para os mesmos fins que os óleos minerais."
"8101",Tungstênio,"Tungstênio (volfrâmio) e suas obras, incluindo os desperdícios e resíduos, e sucata."
"5509",Fios De Fibras,"Fios de fibras sintéticas descontínuas (exceto linhas para costurar), não acondicionados para venda a retalho."
"0506",Ossos E Não Cortados Preparados,"Ossos e núcleos córneos, em bruto, desengordurados ou simplesmente preparados (mas não cortados em forma determinada), acidulados ou degelatinados, pós e desperdícios destas matérias."
"8477",Máquinas Para Tratar Borracha E Plástico,"Máquinas e aparelhos para trabalhar borracha ou plástico ou para fabricação de produtos dessas matérias, não especificados nem compreendidos noutras posições deste Capítulo."
"3203",Matérias Corantes ,"Matérias corantes de origem vegetal ou animal (incluindo os extratos tintoriais, mas excluindo os negros de origem animal), mesmo de constituição química definida, preparações indicadas na Nota 3 do presente Capítulo, à base de matérias corantes de origem vegetal ou animal."
"7116",Obras De Pérolas,"Obras de pérolas naturais ou cultivadas, de pedras preciosas ou semipreciosas ou de pedras sintéticas ou reconstituídas."
"9705",Coleções Arqueológicas,"Coleções e peças de coleção que apresentem um interesse arqueológico, etnográfico, histórico, zoológico, botânico, mineralógico, anatômico, paleontológico ou numismático."
"8108",Titânio,"Titânio e suas obras, incluindo os desperdícios e resíduos, e sucata."
"0702",Tomates,"Tomates, frescos ou refrigerados. "
"2911",Acetais E Hemiacetais,"Acetais e hemiacetais, mesmo que contenham outras funções oxigenadas, e seus derivados halogenados, sulfonados, nitrados ou nitrosados."
"5311",Tecidos fibras têxteis vegetais,"	Tecidos de outras fibras têxteis vegetais, tecidos de fios de papel."
"8401",Reatores Nucleares,"Reatores nucleares, elementos combustíveis (cartuchos) não irradiados, para reatores nucleares, máquinas e aparelhos para a separação de isótopos."
"3820",Preparações anticongelantes,Preparações anticongelantes e líquidos preparados para descongelamento.  
"8458",Tornos,Tornos (incluindo os centros de torneamento) para metais.
"2528",Obras de couro,Outras obras de couro natural ou reconstituído.  
"6603",Partes De Guarda-Chuva,"Partes, guarnições e acessórios, para os artigos das posições 66.01 ou 66.02."
"9013",Laser,"Lasers, exceto diodos laser, outros aparelhos e instrumentos de óptica, não especificados nem compreendidos noutras posições do presente Capítulo."
"1521",Ceras,"Ceras vegetais (exceto os triglicerídeos), ceras de abelha ou de outros insetos e espermacete, mesmo refinados ou corados."
"8703",Veículos Automóveis Para Transporte De  Pessoas,"Automóveis de passageiros e outros veículos automóveis principalmente concebidos para transporte de pessoas (exceto os da posição 87.02), incluindo os veículos de uso misto (station wagons) e os automóveis de corrida."
"5515",Outros Tecidos De Fibras Sintéticas,Outros tecidos de fibras sintéticas descontínuas.
"8449",Máquinas De Chapeus,"Máquinas e aparelhos para fabricação ou acabamento de feltro ou de falsos tecidos (tecidos não tecidos), em peça ou em forma determinada, incluindo as máquinas e aparelhos para fabricação de chapéus de feltro, formas para chapelaria."
"7217",Fios De Ferro Ou Aço Não Ligado,Fios de ferro ou aço não ligado.
"8503",Partes De Geradores,Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas das posições 85.01 ou 85.02.
"6908", Ladrilhos e Pastilhas,"Produtos cerâmicos - Ladrilhos e placas (lajes), para pavimentação ou revestimento, vidrados ou esmaltados, de cerâmica, cubos, pastilhas e artigos semelhantes, para mosaicos, vidrados ou esmaltados, de cerâmica, mesmo com suporte - Outros"
"7214",Barras De Ferro Ou Aço Não Ligado,"Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluindo as que tenham sido submetidas a torção após laminagem."
"8102",Molibdênio,"Molibdênio e suas obras, incluindo os desperdícios e resíduos, e sucata."
"2710",Óleo De Petróleo 70%,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos, preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70 % ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, resíduos de óleos."
"8439",Máquina Para Pasta E Papel,Máquinas e aparelhos para fabricação de pasta de matérias fibrosas celulósicas ou para fabricação ou acabamento de papel ou cartão.
"2521",Pedras Calcárias,"Castinas, pedras calcárias utilizadas na fabricação de cal ou de cimento."
"3301",Óleos Essenciais,"Óleos essenciais (desterpenados ou não), incluindo os denominados concretos ou absolutos, resinoides, oleorresinas de extração, soluções concentradas de óleos essenciais em gorduras, em óleos fixos, em ceras ou em matérias análogas, obtidas por tratamento de flores através de substâncias gordas ou por maceração, subprodutos terpênicos residuais da desterpenação dos óleos essenciais, águas destiladas aromáticas e soluções aquosas de óleos essenciais."
"6109",Camiseta,"Camisetas (T-shirts), camisetas interiores (camisolas interiores*), e artigos semelhantes, de malha."
"5911",Matérias Têxteis,"Produtos e artigos, de matérias têxteis, para usos técnicos, indicados na Nota 8 do presente Capítulo."
"3802",Carvões Ativados,"Carvões ativados, matérias minerais naturais ativadas, negros de origem animal, incluindo o negro animal esgotado."
"7206",Ferro E Aço Não Ligado,"Ferro e aço não ligado, em lingotes ou outras formas primárias, exceto o ferro da posição 72.03."
"6814",Obras De Mica,"Mica trabalhada e obras de mica, incluindo a mica aglomerada ou reconstituída, mesmo com suporte de papel, de cartão ou de outras matérias."
"7227",Fio-Máquina De Outras Ligas De Aço,Fio-máquina de outras ligas de aço.
"2941",Antibióticos,Antibióticos.
"7019",Fibras  De Vidro,"Fibras de vidro (incluindo a lã de vidro) e suas obras (por exemplo, fios, mechas ligeiramente torcidas (rovings), tecidos)."
"2520","Gipsita, Anidrita E Similares","Gipsita, anidrita, gesso, mesmo corado ou adicionado de pequenas quantidades de aceleradores ou retardadores."
"7407",Barras E Perfis De Cobre,"Barras e perfis, de cobre."
"9002",Lente,"Lentes, prismas, espelhos e outros elementos de óptica, de qualquer matéria, montados, para instrumentos ou aparelhos, exceto os de vidro não trabalhado opticamente."
"8902",Barcos De Pesca,"Barcos de pesca, navios-fábricas e outras embarcações para o tratamento ou conservação de produtos da pesca."
"7907",Obras De Zinco,Outras obras de zinco.
"8507",Acumuladores Elétricos,"Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular."
"2203",Cervejas de malte,Cervejas de malte.  
"0714",Raízes E Tubérculos,"Raízes de mandioca, de araruta e de salepo, tupinambos, batatas-doces e raízes ou tubérculos semelhantes, com elevado teor de fécula ou de inulina, frescos, refrigerados, congelados ou secos, mesmo cortados em pedaços ou em pellets, medula de sagueiro."
"7204",Sucata De Ferro,"Desperdícios e resíduos, e sucata, de ferro fundido, ferro ou aço, desperdícios e resíduos, em lingotes, de ferro ou aço."
"6212",Sutiã E Similares,"Sutiãs, cintas, espartilhos, suspensórios, ligas e artigos semelhantes, e suas partes, mesmo de malha."
"8463",Outras Máquinas Para Metais,"Outras máquinas-ferramentas para trabalhar metais ou cermets, que trabalhem sem eliminação de matéria."
"2006",Produtos Conservados com Açucar,"Produtos hortícolas, fruta, cascas de fruta e outras partes de plantas, conservados com açúcar (passados por calda, glaçados ou cristalizados).  "
"3004",Medicamentos,"Medicamentos (exceto os produtos das posições 30.02, 30.05 ou 30.06) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profiláticos, apresentados em doses (incluindo os destinados a serem administrados por via percutânea) ou acondicionados para venda a retalho."
"7102",Diamante,"Diamantes, mesmo trabalhados, mas não montados nem engastados."
"4410",Painéis De Partículas,"Painéis de partículas, painéis denominados oriented strand board (OSB) e painéis semelhantes (waferboard, por exemplo), de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos."
"6905",Telha,"Telhas, elementos de chaminés, condutores de fumaça (fumo), ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para construção."
"2922",Compostos Aminados De Funções Oxigenadas,Compostos aminados de funções oxigenadas.
"0105",Aves Vivas,"Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos."
"3504",Peptona,"Peptonas e seus derivados, outras matérias proteicas e seus derivados, não especificados nem compreendidos noutras posições, pó de peles, tratado ou não pelo cromo."
"8709",Veículos Automóveis Sem Dispositivo De Elevação,"Veículos automóveis sem dispositivo de elevação, do tipo utilizado em fábricas, armazéns, portos ou aeroportos, para transporte de mercadorias a curtas distâncias, carros-tratores do tipo utilizado nas estações ferroviárias, suas partes."
"9207",Instrumentos Musicais Eletronicos,"Instrumentos musicais cujo som é produzido ou amplificado por meios elétricos (por exemplo, órgãos, guitarras, acordeões)."
"7304",Tubos E Perfis Ocos,"Tubos e perfis ocos, sem costura, de ferro ou aço."
"6506",Outros  Chapeus,"Outros chapéus e artigos de uso semelhante, mesmo guarnecidos."
"5907",Tecidos e telas,"Outros tecidos impregnados, revestidos ou recobertos, telas pintadas para cenários teatrais, para fundos de estúdio ou para usos semelhantes.   "
"1604",Conservas De Peixe,"Preparações e conservas de peixes, caviar e seus sucedâneos preparados a partir de ovas de peixe."
"8307",Tubos Flexíveis De Metais,"Tubos flexíveis de metais comuns, mesmo com acessórios."
"3303",Perfume,Perfumes e águas-de-colônia.
"8535",Aparelhos Para Circuitos Elétricos,"Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tensão, supressores de picos de tensão (eliminadores de onda), tomadas de corrente e outros conectores, caixas de junção), para uma tensão superior a 1.000 V."
"2512",Terras siliciosas,"Farinhas siliciosas fósseis (por exemplo, kieselguhr, tripolita, diatomita) e outras terras siliciosas análogas de densidade aparente não superior a 1, mesmo calcinadas.  "
"9110",Mecanismos De Relógios,"Mecanismos de relojoaria completos, não montados ou parcialmente montados (chablons), mecanismos de relojoaria incompletos, montados, esboços de mecanismos de relojoaria."
"6910",Pia,"Pias, lavatórios, colunas para lavatórios, banheiras, bidés, sanitários, caixas de descarga (autoclismos*), mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica."
"6907",Ladrilhos E Placas,"Ladrilhos e placas (lajes), para pavimentação ou revestimento, de cerâmica, cubos, pastilhas e artigos semelhantes, para mosaicos, de cerâmica, mesmo com suporte, peças de acabamento, de cerâmica."
"9507",Material De Pesca,"Varas (Canas*) de pesca, anzóis e outros artigos para a pesca à linha, puçás (camaroeiros), redes de borboletas e redes semelhantes, iscas e chamarizes (exceto os das posições 92.08 ou 97.05) e artigos semelhantes de caça."
"3204",Matérias Corantes Orgânicas Sintéticas,"Matérias corantes orgânicas sintéticas, mesmo de constituição química definida, preparações indicadas na Nota 3 do presente Capítulo, à base de matérias corantes orgânicas sintéticas, produtos orgânicos sintéticos do tipo utilizado como agentes de avivamento fluorescentes ou como luminóforos, mesmo de constituição química definida."
"4205","Tubos, calhas cerâmicos","Tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica.  "
"5501",Cabos De Filamentos ,Cabos de filamentos sintéticos.
"2845",Isótopos,"Isótopos não incluídos na posição 28.44, seus compostos, inorgânicos ou orgânicos, de constituição química definida ou não."
"4814",Papel De Parede ,"Papel de parede e revestimentos para parede semelhantes, papel para vitrais."
"0710",Produtos Hortícolas Não Cozidos,"Produtos hortícolas, não cozidos ou cozidos em água ou vapor, congelados."
"7011",Ampolas E Invólucros,"Ampolas e invólucros, mesmo tubulares, abertos, e suas partes, de vidro, sem guarnições, para lâmpadas e fontes de luz, elétricas, tubos catódicos ou semelhantes."
"4401",Lenha,"Lenha em qualquer forma, madeira em estilhas ou em partículas, serragem (serradura), desperdícios e resíduos, de madeira, mesmo aglomerados em toras (toros), briquetes, pellets ou em formas semelhantes."
"8803",Partes veiculos aéreos,"Hélices e rotores, e suas partes, para veículos aéreos, etc."
"1401",Matéria Vegetal Para Cestaria,"Matérias vegetais das espécies principalmente utilizadas em cestaria ou espartaria (por exemplo, bambus, rotins, canas, juncos, vimes, ráfia, palha de cereais limpa, branqueada ou tingida, casca de tília)."
"2901",Hidrocarbonetos Acíclicos,Hidrocarbonetos acíclicos.
"8403",Caldeiras Para Aquecimento Central,"Caldeiras para aquecimento central, exceto as da posição 84.02."
"5704",Tapetes,"Tapetes e outros revestimentos para pisos (pavimentos), de feltro, exceto os tufados e os flocados, mesmo confeccionados."
"5408",Tecidos De Fios De Filamento,"Tecidos de fios de filamentos artificiais, incluindo os tecidos obtidos a partir dos produtos da posição 54.05. "
"7005",Vidro Flotado E Vidro Desbastado,"Vidro flotado e vidro desbastado ou polido numa ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas não trabalhado de outro modo."
"8517",Aparelhos Telefônicos,"Aparelhos telefônicos, incluindo os telefones inteligentes (smartphones) e outros telefones para redes celulares ou para outras redes sem fio, outros aparelhos para a transmissão ou recepção de voz, imagens ou outros dados, incluindo os aparelhos para comunicação em redes por fio ou redes sem fio (tal como uma rede local (LAN) ou uma rede de área estendida (longa distância) (WAN)), exceto os aparelhos das posições 84.43, 85.25, 85.27 ou 85.28."
"4016",Outras Obras De Borracha,Outras obras de borracha vulcanizada não endurecida.
"8605",Vagões,"Vagões de passageiros (carruagens*), furgões para bagagem, vagões-postais e outros vagões especiais, para vias férreas ou semelhantes (excluindo as viaturas da posição 86.04)."
"8534",Circuitos Impressos,Circuitos impressos.
"8519",Aparelhos De Som,"Aparelhos de gravação de som, aparelhos de reprodução de som, aparelhos de gravação e de reprodução de som."
"6806",Lãs De Escórias,"Lãs de escórias de altos-fornos, lãs de outras escórias, lã de rocha e lãs minerais semelhantes, vermiculita e argilas, expandidas, espuma de escórias e produtos minerais semelhantes, expandidos, misturas e obras de matérias minerais para isolamento do calor e do som ou para absorção do som, exceto as das posições 68.11, 68.12 ou do Capítulo 69."
"2818","Corindo Artificial,","Corindo artificial, de constituição química definida ou não, óxido de alumínio, hidróxido de alumínio."
"4601",Tranças De Madeira,"Tranças e artigos semelhantes, de matérias para entrançar, mesmo reunidos em tiras, matérias para entrançar, tranças e artigos semelhantes, de matérias para entrançar, tecidos ou paralelizados, em formas planas, mesmo acabados (por exemplo, esteiras, capachos e divisórias)."
"8103",Tântalo,"Tântalo e suas obras, incluindo os desperdícios e resíduos, e sucata."
"2707",Óleos De Alcatrões,"Óleos e outros produtos provenientes da destilação dos alcatrões de hulha a alta temperatura, produtos análogos em que os constituintes aromáticos predominem, em peso, relativamente aos constituintes não aromáticos."
"4008",Chapa De Borracha,"Chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada não endurecida."
"2105",Sorvete,"Sorvetes (gelados*), mesmo que contenham cacau."
"2903",Derivados Halogenados Dos Hidrocarbonetos,Derivados halogenados dos hidrocarbonetos.
"9701",Quadro,"Quadros, pinturas e desenhos, feitos inteiramente à mão, exceto os desenhos da posição 49.06 e os artigos manufaturados decorados à mão, colagens, mosaicos e quadros decorativos semelhantes."
"2606",Minério Alumínio,Minérios de alumínio e seus concentrados.
"9026",Aparelhos Para Medida Ou Controle Da Vazão,"Instrumentos e aparelhos para medida ou controle da vazão (caudal), do nível, da pressão ou de outras características variáveis dos líquidos ou gases (por exemplo, medidores de vazão (caudal), indicadores de nível, manômetros, contadores de calor), exceto os instrumentos e aparelhos das posições 90.14, 90.15, 90.28 ou 90.32."
"2904",Derivados Sulfonados,"Derivados sulfonados, nitrados ou nitrosados dos hidrocarbonetos, mesmo halogenados."
"3914",Permutadores De Íons,"Permutadores de íons à base de polímeros das posições 39.01 a 39.13, em formas primárias."
"3302",Misturas De Substâncias Odoríferas ,"Misturas de substâncias odoríferas e misturas (incluindo as soluções alcoólicas) à base de uma ou mais destas substâncias, do tipo utilizado como matérias básicas para a indústria, outras preparações à base de substâncias odoríferas, do tipo utilizado para fabricação de bebidas."
"7229",Fios De Outras Ligas De Aço,Fios de outras ligas de aço.
"0813",Frutas Secas,"Fruta seca, exceto a das posições 08.01 a 08.06, misturas de fruta seca ou de fruta de casca rija, do presente Capítulo."
"7406",Pós E Escamas De Cobre,"Pós e escamas, de cobre."
"0705",Alface E Chicórias,"Alface (Lactuca sativa) e chicórias (Cichorium spp.), frescas ou refrigeradas."
"8549",Sucata De Eletrônicos,"Desperdícios e resíduos, e sucata, elétricos e eletrônicos."
"2837",Cianeto E Outros,"Cianetos, oxicianetos e cianetos complexos."
"8470",Máquinas De Calcular,"Máquinas de calcular e máquinas de bolso que permitam gravar, reproduzir e visualizar informações, com função de cálculo incorporada, máquinas de contabilidade, máquinas de franquear, de emitir bilhetes e máquinas semelhantes, com dispositivo de cálculo incorporado, caixas registradoras."
